"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"DM01"	"DM02"	"DM03_01"	"DM04"	"DM06_01"	"EX01"	"EX02"	"EX03"	"EX03_01"	"EX03_02"	"EX03_03"	"EX03_05"	"EX03_04"	"PR01_01"	"PR01_02"	"PR01_03"	"PR01_04"	"PR01_05"	"PR01_06"	"PR01_07"	"PR01_08"	"PR02_01"	"PR02_02"	"PR02_03"	"PR02_04"	"PR02_05"	"PR02_06"	"PR02_07"	"PR02_08"	"PR02_09"	"PR02_10"	"PR02_11"	"PR04"	"PR05"	"PR05_01"	"PR05_02"	"PR05_03"	"PR05_04"	"PR05_06"	"PR05_07"	"PR06_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"STATUS"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
17			"qPRE"	"interview"	2025-05-28 09:28:49	11	1	"italiano"	5	"01"	5	1	1	F	F	T	F	F	2	2	2	2	5	5	4	4	5	5	5	2	3	4	4	4	5	2	5	6	1	T	F	F	F	F	F		1656	12	16	20	109	12	11	186		2025-05-28 09:59:25		T	F	7	7	0	0	1.31
18			"qPOST"	"interview"	2025-05-28 10:12:43					"01"									1	1	3	2	4	6	4	2	5	5	5	2	3	6	4	4	6	3	6	6	1	T	F	F	F	F	F	101	212	1552	236	23	5			154		2025-05-28 10:46:31		T	F	5	5	0	0	0.68
21			"qPRE"	"interview"	2025-05-28 15:44:44	7	1	"italian"	4	"02"	4	2	1	F	F	T	F	F	1	1	1	1	3	3	4	1	6	4	6	3	3	3	4	3	5	4	6	3	1	F	F	F	T	F	F		6	92	20	30	175	11	25	359		2025-05-28 15:50:43		T	F	7	7	0	0	1.02
22			"qPOST"	"interview"	2025-05-28 16:00:45					"02"									1	3	1	2	4	2	4	1	4	3	4	4	3	4	3	3	4	2	3	4	1	F	F	F	T	F	F	66	5	1150	127	26	44			195		2025-05-28 16:23:17		T	F	5	5	0	0	0.64
25			"qPOST"	"interview"	2025-06-03 08:51:10					"03"									2	1	3	2	6	6	4	3	6	6	7	6	4	6	6	6	5	3	4	2	1	F	T	F	F	F	F	71	18447	1607	141	78	9			262		2025-06-03 14:29:13		T	F	5	5	0	0	0.4
26			"qPRE"	"interview"	2025-06-03 13:38:39	7	1	"italiana"	3	"03"	3	1	2	F	F	T	T	F	2	1	1	2	6	5	4	3	6	5	7	6	4	6	4	6	2	3	6	1	1	F	T	F	F	F	F		7	487	56	20	132	7	11	720		2025-06-03 13:50:39		T	F	7	7	0	0	0.94
27			"qPRE"	"interview"	2025-06-03 14:58:37	13	2	"Italiana"	6	"04"	5	1	1	F	F	T	F	F	4	4	4	4	4	4	4	4	3	3	6	3	4	3	3	3	4	3	5	3	1	T	F	F	F	F	F		7	16	71	25	105	11	15	250		2025-06-03 15:02:47		T	F	7	7	0	0	1.16
28			"qPOST"	"interview"	2025-06-03 15:32:10					"04"									1	1	1	1	1	1	1	1	3	4	3	3	3	3	3	3	4	3	5	7	1	F	F	T	F	F	F	96	1145	22	45	46	5			124		2025-06-03 15:53:13		T	F	5	5	0	0	1.14
29			"qPRE"	"interview"	2025-06-03 16:13:00	9	1	"IRAN"	5	"05"	4	2	1	F	F	T	F	F	4	3	4	4	4	6	5	6	4	5	3	4	5	4	5	3	6	6	6	4	1	F	F	F	T	F	F		3	34	43	27	256	18	24	240		2025-06-03 16:19:45		T	F	7	7	0	0	1.17
30			"qPOST"	"interview"	2025-06-03 17:11:29					"05"									5	3	6	7	6	6	4	6	3	4	4	3	5	4	5	3	7	6	6	5	1	F	F	F	T	F	F	77	9	1	572	32	7			141		2025-06-03 17:21:50		T	F	5	5	0	0	1.19
31			"qPRE"	"interview"	2025-06-03 18:49:35	6	2	"Italia"	3	"06"	2	1	1	F	F	T	F	F	1	1	1	1	7	5	1	2	5	5	7	5	6	7	2	7	5	1	6	1	1	F	T	F	F	F	F		7	200	20	21	82	8	14	352		2025-06-03 18:55:27		T	F	7	7	0	0	1.12
32			"qPOST"	"interview"	2025-06-03 19:28:13					"06"									1	1	2	1	7	5	2	3	7	3	7	5	6	7	3	7	5	3	5	1	1	F	T	F	F	F	F	39	9	457	59	36	5			137		2025-06-03 19:37:39		T	F	5	5	0	0	0.97
34			"qPRE"	"interview"	2025-06-04 14:59:57	41	2	"italy"	3	"07"	3	1	1	F	F	T	F	F	3	3	3	4	5	5	5	5	5	5	5	4	5	6	4	5	7	5	6	5	1	F	F	F	F	F	T		384	128	25	28	82	14	11	294		2025-06-04 15:11:09		T	F	7	7	0	0	0.93
