Emotion,Round,Condition,Location,Mean_Pressure,Max_Pressure,Pressure_Variance,Pressure_Gradient,Median_Force,Contact_Area,Rate_of_Pressure_Change,Pressure_Std,Num_Touches,Max_Touch_Duration,Min_Touch_Duration,Mean_Touch_Duration,Estimated_Sampling_Rate,Max_Touch_Area,PN
attention,round3,torso,torso,7.231300703004265,24.821556594224457,8.971325607784026,0.18597831188916,6.135641571127273,1.3225806451612905,0.18597831188916,2.9952171219769737,8,0.7399103139013453,0.0493273542600896,0.234304932735426,20.272727272727277,3,10
Sadness,round1,torso,torso,26.24449573235952,125.79955030006616,703.7925246106653,0.2036983662283845,14.335111403883849,4.991967871485944,0.2036983662283845,26.5290882732646,3,4.436065573770492,1.3344262295081968,3.0054644808743167,27.727272727272727,10,10
Empathy,round2,torso,torso,6.495662145907224,16.056777288498598,2.158913028705567,0.1734366115476769,6.055052831115097,1.0769230769230769,0.1734366115476769,1.469324003991484,10,0.326271186440678,0.0466101694915254,0.1258474576271186,21.454545454545453,2,10
Gratitude,round3,torso,torso,6.9689023326847295,20.642253294853383,5.597010984590815,0.1790739877814757,6.278365605837911,1.0408163265306123,0.1790739877814757,2.3658002841725283,8,1.0720338983050848,0.0466101694915254,0.326271186440678,21.454545454545453,2,10
Sadness,round3,torso,torso,26.34500747168388,119.15498877551792,710.4588075585656,0.1945905638002053,14.997007740999663,4.118421052631579,0.1945905638002053,26.6544331689602,2,4.936395759717315,3.9257950530035335,4.431095406360424,25.727272727272727,8,10
Love,round3,torso,torso,6.073545026751451,10.568150746270828,1.1315855157822292,0.1648757651645176,5.695702588924026,0,0.1648757651645176,1.0637600837511385,3,0.0454545454545454,0.0454545454545454,0.0454545454545454,22,0,10
Happiness,round2,torso,torso,7.303692328993895,31.82331369070509,6.932055881788083,0.1760232785948373,6.555730122893612,1.7580645161290325,0.1760232785948373,2.632879769717577,28,0.56,0.04,0.1442857142857143,25,7,10
Gratitude,round1,torso,torso,7.155335726266872,24.886032761845037,6.27154066969848,0.1739520382684936,6.326038909465369,1.326086956521739,0.1739520382684936,2.504304428319065,13,0.867219917012448,0.0456431535269709,0.1966166613469518,21.90909090909091,2,10
attention,round1,torso,torso,6.957743811436701,21.547794200799835,5.06395252025562,0.1705180700162602,6.259467018231003,1.903225806451613,0.1705180700162602,2.2503227591293697,15,0.3975903614457831,0.0331325301204819,0.0949799196787148,30.181818181818183,6,10
Anger,round3,torso,torso,36.59201413775708,146.28199973946658,1412.6273003933904,0.1828773483797793,22.269493733090226,6.426778242677824,0.1828773483797793,37.58493448701741,2,9.594890510948904,0.0401459854014598,4.8175182481751815,24.90909090909091,12,10
Love,round2,torso,torso,7.627853267632869,23.71304588913594,11.590172081725372,0.1765463769258537,6.360997015090085,2.861111111111111,0.1765463769258537,3.404434179379207,11,0.9956896551724138,0.0474137931034482,0.2025862068965517,21.09090909090909,9,10
Anger,round2,torso,torso,40.45035031029578,156.93500415064182,1819.9731428556893,0.1732406990535136,13.601598973802938,8.39297124600639,0.1732406990535136,42.66114324365545,2,9.537396121883656,0.0304709141274238,4.78393351800554,32.81818181818182,13,10
Comfort,round2,torso,torso,6.237532707453176,16.679953609806773,1.669523624656375,0.1675110772115552,5.820601249319594,1,0.1675110772115552,1.2921004700317908,7,0.1527777777777777,0.0381944444444444,0.054563492063492,26.181818181818183,1,10
Anger,round1,torso,torso,26.107056302223484,134.76322831249294,939.7957988649578,0.1705812186864035,12.905129958776794,11.188,0.1705812186864035,30.656089099312027,2,9.884057971014494,0.0797101449275362,4.981884057971016,25.09090909090909,14,10
Comfort,round1,torso,torso,6.242545375706847,11.967451732545884,1.3583690747535868,0.1728298729195428,5.910865714176717,1,0.1728298729195428,1.165490915774802,7,0.0436507936507936,0.0436507936507936,0.0436507936507936,22.90909090909091,1,10
Love,round1,torso,torso,6.929129721138214,12.532784623548382,2.371614984704792,0.1610159872721427,6.5757275595311535,1,0.1610159872721427,1.5400048651562086,12,0.4435483870967742,0.0443548387096774,0.136760752688172,22.545454545454547,1,10
Comfort,round3,torso,torso,6.593366623030946,15.90897608937462,3.019013946640057,0.173323355147833,6.030009317315159,1.0909090909090908,0.173323355147833,1.737530991562469,7,0.2961538461538461,0.0423076923076923,0.145054945054945,23.63636363636364,2,10
Happiness,round3,torso,torso,7.07350761956854,18.118248561920797,5.24500631558672,0.1557480873184947,6.258956628794531,1.5769230769230769,0.1557480873184947,2.2901978769500944,5,0.4666666666666667,0.0666666666666666,0.22,30,3,10
Empathy,round3,torso,torso,6.674935333652688,20.096557887905487,3.6971118253732382,0.170721380206175,6.083343839113359,1.8235294117647056,0.170721380206175,1.9227875143585775,9,0.5196850393700788,0.0433070866141732,0.1251093613298337,23.09090909090909,3,10
Happiness,round1,torso,torso,7.630666785939055,27.87040408907349,7.682141611917083,0.1826949779256516,6.6712703045445485,1.6631578947368422,0.1826949779256516,2.771667658994686,17,0.6428571428571429,0.0357142857142857,0.245798319327731,28,4,10
Gratitude,round2,torso,torso,6.520908576651648,16.574359232221802,2.902589111040234,0.1583273868582221,6.050366550526454,1.2105263157894737,0.1583273868582221,1.7036986561714,6,0.5620437956204379,0.0401459854014598,0.1873479318734793,24.90909090909091,2,10
Sadness,round2,torso,torso,26.156599620325498,131.62045919980756,676.9831139732329,0.182944728110059,15.000511388323194,4.132780082987552,0.182944728110059,26.018899169127675,2,5.775919732441471,3.0903010033444813,4.433110367892976,27.181818181818183,8,10
Empathy,round1,torso,torso,6.111591037726679,12.445458214933833,1.3312101557175224,0.1628632586148919,5.750442629319371,1,0.1628632586148919,1.1537808092170376,4,0.0883534136546184,0.0441767068273092,0.0552208835341365,22.63636363636364,1,10
attention,round2,torso,torso,7.41197843913358,40.83057861631221,12.17793716373565,0.167253123784528,6.2148242920096495,1.803921568627451,0.167253123784528,3.489690124314142,11,0.5722543352601156,0.0317919075144508,0.1907514450867052,31.454545454545453,4,10
Anger,round3,torso,torso,6.035574522631561,10.84505610088248,1.249221087531884,0.1705138507004129,5.601978416916877,0,0.1705138507004129,1.117685594222223,1,0.0349206349206349,0.0349206349206349,0.0349206349206349,28.63636363636364,0,22
attention,round2,torso,torso,6.093300662392667,10.752304066297269,1.2269321082085414,0.1711110616515073,5.747245701590092,0,0.1711110616515073,1.107669674681284,1,0.0327380952380952,0.0327380952380952,0.0327380952380952,30.545454545454547,0,22
Anger,round2,torso,torso,6.482669138984586,13.183435437075392,2.7382304477556847,0.1735624737002669,5.899806588781265,1,0.1735624737002669,1.6547599365937298,2,0.1153846153846153,0.0384615384615384,0.0769230769230769,26,1,22
Sadness,round1,torso,torso,6.0345034404436975,11.348160599580304,1.6062541987197732,0.1629892586130578,5.65360799866516,1,0.1629892586130578,1.267380842020177,2,0.0376712328767123,0.0376712328767123,0.0376712328767123,26.545454545454547,1,22
Empathy,round2,torso,torso,6.35722554044825,15.293125115794268,2.113918067945028,0.1854455608672875,5.891835734574171,1,0.1854455608672875,1.4539319337386565,3,0.1269230769230769,0.0423076923076923,0.0705128205128205,23.63636363636364,1,22
Anger,round1,torso,torso,6.030199599669181,10.284739071358612,1.66763674787518,0.172208329072013,5.424647857759783,0,0.172208329072013,1.291370104917711,1,0.044,0.044,0.044,22.727272727272727,0,22
Sadness,round3,torso,torso,6.158593514500922,13.955757961444082,2.050696665743317,0.1750280457963593,5.630706486113427,1,0.1750280457963593,1.432025371892313,2,0.0763888888888888,0.0381944444444444,0.0572916666666666,26.181818181818183,1,22
Happiness,round1,torso,torso,6.13107773191554,10.161566133073952,1.2814646805618677,0.1357574340919105,5.734507445953479,0,0.1357574340919105,1.1320179683034486,1,0.0316091954022988,0.0316091954022988,0.0316091954022988,31.63636363636364,0,22
Love,round1,torso,torso,5.908037239887913,11.971956478170023,1.8635274551817125,0.1669898155802472,5.4677945472664495,1,0.1669898155802472,1.3651107849481348,2,0.0345911949685534,0.0345911949685534,0.0345911949685534,28.90909090909091,1,22
